Epoch	Training_time	Train_Loss	Train_Acc	Val_ACC	Tst_ACC
1	0.09929585456848145	1.7949597835540771	0.15	0.184	0.172
2	0.0011935234069824219	1.04069185256958	0.9416666666666667	0.65	0.642
3	0.0008566379547119141	0.4506751596927643	0.9416666666666667	0.704	0.694
4	0.0009517669677734375	0.18989650905132294	0.9833333333333333	0.714	0.701
5	0.0008420944213867188	0.09786587208509445	0.975	0.684	0.69
6	0.0007696151733398438	0.05605677515268326	1.0	0.692	0.685
7	0.0007655620574951172	0.03982710465788841	1.0	0.692	0.691
8	0.0007665157318115234	0.029727546498179436	1.0	0.696	0.687
9	0.0007436275482177734	0.026179790496826172	1.0	0.7	0.69
10	0.0006620883941650391	0.025630338117480278	1.0	0.704	0.692
11	0.0006530284881591797	0.027258601039648056	1.0	0.704	0.694
12	0.0006597042083740234	0.033295731991529465	1.0	0.702	0.702
13	0.0006601810455322266	0.04234961047768593	1.0	0.704	0.701
14	0.0006501674652099609	0.05292150750756264	1.0	0.694	0.695
15	0.0006620883941650391	0.06497088074684143	1.0	0.71	0.697
16	0.0006778240203857422	0.0735626369714737	1.0	0.704	0.697
17	0.0006489753723144531	0.07598759233951569	1.0	0.698	0.689
18	0.0006728172302246094	0.07299844920635223	1.0	0.688	0.692
19	0.0007441043853759766	0.0666089579463005	1.0	0.688	0.693
20	0.0007266998291015625	0.06019725650548935	1.0	0.69	0.693
21	0.0007345676422119141	0.05415249988436699	1.0	0.68	0.689
22	0.0007348060607910156	0.05038323625922203	1.0	0.682	0.69
23	0.0007407665252685547	0.04790937900543213	1.0	0.682	0.69
24	0.0007610321044921875	0.04639926180243492	1.0	0.684	0.691
25	0.0007371902465820312	0.04590992256999016	1.0	0.684	0.697
26	0.0007297992706298828	0.045858316123485565	1.0	0.686	0.697
27	0.0006699562072753906	0.04620964080095291	1.0	0.688	0.693
28	0.0006492137908935547	0.04633081331849098	1.0	0.684	0.687
29	0.0006732940673828125	0.04629666358232498	1.0	0.686	0.691
30	0.0006630420684814453	0.04580189660191536	1.0	0.688	0.691
31	0.0006473064422607422	0.04484809190034866	1.0	0.684	0.691
32	0.0006639957427978516	0.04403122514486313	1.0	0.684	0.692
33	0.0006833076477050781	0.043370041996240616	1.0	0.69	0.692
34	0.0006532669067382812	0.04310927167534828	1.0	0.694	0.693
1	0.0024929046630859375	1.7855784893035889	0.24166666666666667	0.2	0.208
2	0.0009570121765136719	1.022328495979309	0.9416666666666667	0.684	0.679
3	0.0008232593536376953	0.4390340745449066	0.9333333333333333	0.702	0.691
4	0.0008246898651123047	0.18549194931983948	0.9833333333333333	0.712	0.714
5	0.0007202625274658203	0.0930957943201065	0.9916666666666667	0.692	0.69
6	0.000759124755859375	0.054544758051633835	1.0	0.686	0.672
7	0.0006501674652099609	0.037770383059978485	1.0	0.69	0.687
8	0.0007538795471191406	0.0288473479449749	1.0	0.708	0.692
9	0.0006682872772216797	0.025079241022467613	1.0	0.706	0.695
10	0.0006549358367919922	0.02465888485312462	1.0	0.708	0.692
11	0.0006532669067382812	0.02688537910580635	1.0	0.706	0.696
12	0.000652313232421875	0.03269432112574577	1.0	0.708	0.695
13	0.0006527900695800781	0.042361173778772354	1.0	0.708	0.698
14	0.000659942626953125	0.05384296551346779	1.0	0.712	0.699
15	0.0007059574127197266	0.06620163470506668	1.0	0.716	0.693
16	0.00069427490234375	0.07466725260019302	1.0	0.71	0.696
17	0.0006608963012695312	0.07685871422290802	1.0	0.7	0.692
18	0.0006461143493652344	0.07317182421684265	1.0	0.698	0.694
19	0.0006480216979980469	0.06587741523981094	1.0	0.694	0.688
20	0.0006554126739501953	0.05905069038271904	1.0	0.688	0.691
21	0.00064849853515625	0.05333353579044342	1.0	0.686	0.692
22	0.0006594657897949219	0.04965856298804283	1.0	0.688	0.69
23	0.0006477832794189453	0.04712418094277382	1.0	0.68	0.688
24	0.0006520748138427734	0.045860569924116135	1.0	0.68	0.689
25	0.0006482601165771484	0.04545356705784798	1.0	0.684	0.689
26	0.0006461143493652344	0.04547048360109329	1.0	0.688	0.691
27	0.0006525516510009766	0.04602939635515213	1.0	0.684	0.692
28	0.0006563663482666016	0.046335700899362564	1.0	0.684	0.693
29	0.0006461143493652344	0.04639928787946701	1.0	0.682	0.693
30	0.0006434917449951172	0.045885030180215836	1.0	0.684	0.692
31	0.0006489753723144531	0.04485205560922623	1.0	0.684	0.692
32	0.000640869140625	0.043967001140117645	1.0	0.684	0.691
33	0.0006453990936279297	0.043262556195259094	1.0	0.686	0.692
34	0.0006537437438964844	0.04306385666131973	1.0	0.69	0.69
35	0.0006477832794189453	0.043161794543266296	1.0	0.69	0.694
36	0.0006413459777832031	0.043710414320230484	1.0	0.692	0.694
37	0.0006530284881591797	0.044448789209127426	1.0	0.694	0.696
