Epoch	Training_time	Train_Loss	Train_Acc	Val_ACC	Tst_ACC
21	0.000682830810546875	0.5966084599494934	0.875	0.632	0.626
22	0.0007178783416748047	0.6286265850067139	0.8416666666666667	0.626	0.631
23	0.0006554126739501953	0.5538844466209412	0.9083333333333333	0.624	0.635
24	0.0006580352783203125	0.4613988697528839	0.9416666666666667	0.67	0.686
25	0.0006833076477050781	0.4766330122947693	0.9583333333333334	0.656	0.646
26	0.0006632804870605469	0.5225771069526672	0.9166666666666666	0.586	0.603
27	0.0006489753723144531	0.47824713587760925	0.9333333333333333	0.666	0.651
28	0.0006492137908935547	0.4377654790878296	0.9583333333333334	0.704	0.695
29	0.0006921291351318359	0.45541173219680786	0.9333333333333333	0.662	0.676
30	0.0006663799285888672	0.4744439721107483	0.9166666666666666	0.632	0.657
31	0.0006625652313232422	0.44302862882614136	0.9333333333333333	0.688	0.687
32	0.0006449222564697266	0.436050683259964	0.95	0.684	0.701
33	0.0006434917449951172	0.42210257053375244	0.9666666666666667	0.716	0.708
34	0.0006887912750244141	0.4142109453678131	0.975	0.694	0.686
35	0.0006554126739501953	0.4045001268386841	0.9416666666666667	0.698	0.697
36	0.0006487369537353516	0.3970707654953003	0.95	0.694	0.709
37	0.0006566047668457031	0.38440144062042236	0.9666666666666667	0.722	0.724
38	0.0006947517395019531	0.37569159269332886	0.9583333333333334	0.708	0.706
39	0.0006618499755859375	0.36316734552383423	0.975	0.714	0.71
40	0.0006558895111083984	0.35077208280563354	0.95	0.706	0.719
41	0.0006489753723144531	0.3448052704334259	0.9666666666666667	0.7	0.7
42	0.0006461143493652344	0.3611829876899719	0.9583333333333334	0.688	0.712
43	0.0006473064422607422	0.35179007053375244	0.95	0.67	0.652
44	0.0006442070007324219	0.3103829324245453	0.9583333333333334	0.714	0.721
45	0.0006678104400634766	0.3228253722190857	0.9583333333333334	0.694	0.71
46	0.0006515979766845703	0.2984991669654846	0.975	0.694	0.709
47	0.0006554126739501953	0.2984354794025421	0.9666666666666667	0.698	0.692
48	0.0006453990936279297	0.28837522864341736	0.9583333333333334	0.692	0.718
49	0.0006508827209472656	0.274294376373291	0.975	0.706	0.716
50	0.0006515979766845703	0.27519676089286804	0.9583333333333334	0.7	0.693
51	0.0006539821624755859	0.26076802611351013	0.975	0.714	0.729
52	0.0006468296051025391	0.25937163829803467	0.975	0.712	0.734
53	0.0006434917449951172	0.2518094480037689	0.9666666666666667	0.696	0.683
54	0.0006432533264160156	0.24438995122909546	0.9583333333333334	0.69	0.705
55	0.0006525516510009766	0.26289305090904236	0.9916666666666667	0.672	0.7
56	0.0006434917449951172	0.2772660255432129	0.9583333333333334	0.696	0.695
57	0.0006837844848632812	0.27926596999168396	0.9583333333333334	0.686	0.657
58	0.00072479248046875	0.2568571865558624	0.95	0.666	0.688
59	0.0007197856903076172	0.23252756893634796	0.975	0.69	0.706
60	0.0027174949645996094	0.24177221953868866	0.9666666666666667	0.698	0.695
61	0.0006718635559082031	0.21032555401325226	0.975	0.72	0.736
62	0.0007948875427246094	0.22123666107654572	0.975	0.686	0.715
63	0.0006995201110839844	0.20239314436912537	0.9833333333333333	0.682	0.701
64	0.0008530616760253906	0.2104375660419464	0.9666666666666667	0.704	0.707
65	0.0006909370422363281	0.19681337475776672	0.9833333333333333	0.696	0.714
66	0.002507448196411133	0.1977783739566803	0.9916666666666667	0.716	0.732
67	0.0007748603820800781	0.19221799075603485	0.975	0.694	0.713
1	0.0043964385986328125	1.9068785905838013	0.13333333333333333	0.186	0.143
2	0.0009260177612304688	9.531888961791992	0.16666666666666666	0.138	0.16
3	0.0008096694946289062	10.082139015197754	0.16666666666666666	0.058	0.077
4	0.002752065658569336	9.310248374938965	0.3333333333333333	0.366	0.357
5	0.0009734630584716797	5.170732498168945	0.2	0.188	0.171
6	0.0008370876312255859	6.364319324493408	0.16666666666666666	0.172	0.182
7	0.0008146762847900391	6.660022258758545	0.16666666666666666	0.232	0.181
8	0.0008995532989501953	4.4811224937438965	0.16666666666666666	0.232	0.181
9	0.000827789306640625	2.688267946243286	0.4166666666666667	0.234	0.261
10	0.002727985382080078	2.6894185543060303	0.43333333333333335	0.232	0.262
11	0.0007941722869873047	2.568902015686035	0.525	0.216	0.248
12	0.0006916522979736328	2.2227466106414795	0.475	0.172	0.193
13	0.0006706714630126953	1.546425700187683	0.6833333333333333	0.428	0.491
14	0.001009225845336914	1.4256885051727295	0.5833333333333334	0.296	0.288
15	0.0007786750793457031	1.6563801765441895	0.25833333333333336	0.19	0.173
16	0.0007495880126953125	1.1407922506332397	0.5083333333333333	0.23	0.214
17	0.0006754398345947266	0.8226078748703003	0.9166666666666666	0.536	0.53
18	0.000705718994140625	1.004429817199707	0.7333333333333333	0.416	0.396
19	0.0006773471832275391	1.0761151313781738	0.7666666666666667	0.554	0.545
20	0.0006968975067138672	0.980333685874939	0.8	0.522	0.586
21	0.0006699562072753906	0.8352382779121399	0.8083333333333333	0.46	0.496
22	0.0006639957427978516	0.6897031664848328	0.9416666666666667	0.598	0.597
23	0.0006949901580810547	0.7570620775222778	0.825	0.442	0.447
24	0.0006649494171142578	0.6861464977264404	0.875	0.616	0.604
25	0.0006973743438720703	0.6161857843399048	0.95	0.66	0.684
26	0.0007059574127197266	0.6126142144203186	0.9333333333333333	0.636	0.666
27	0.0006768703460693359	0.6110203862190247	0.9333333333333333	0.654	0.662
28	0.0006611347198486328	0.584010660648346	0.9333333333333333	0.698	0.664
29	0.0006859302520751953	0.55263751745224	0.95	0.722	0.711
30	0.0007061958312988281	0.5458710193634033	0.9333333333333333	0.71	0.715
31	0.000667572021484375	0.5385305285453796	0.9416666666666667	0.712	0.709
32	0.0006606578826904297	0.5226582288742065	0.95	0.706	0.72
33	0.0006568431854248047	0.5049957036972046	0.95	0.708	0.711
34	0.00066375732421875	0.4966333210468292	0.9416666666666667	0.69	0.712
35	0.0006582736968994141	0.4831725060939789	0.95	0.718	0.708
36	0.0006542205810546875	0.4653085768222809	0.95	0.694	0.715
