Epoch	Training_time	Train_Loss	Train_Acc	Val_ACC	Tst_ACC
31	0.0005567073822021484	0.06262589246034622	1.0	0.776	0.81
32	0.0005457401275634766	0.06207374855875969	1.0	0.774	0.81
33	0.0005409717559814453	0.06193646788597107	1.0	0.778	0.812
34	0.0005545616149902344	0.06208150088787079	1.0	0.782	0.812
35	0.0005395412445068359	0.06224895268678665	1.0	0.78	0.812
1	0.0023827552795410156	1.9498554468154907	0.1357142857142857	0.114	0.129
2	0.0007517337799072266	1.4598718881607056	0.9142857142857143	0.642	0.664
3	0.0006000995635986328	0.9560945630073547	0.9714285714285714	0.75	0.752
4	0.0006346702575683594	0.5646288990974426	0.9785714285714285	0.784	0.79
5	0.0006372928619384766	0.329152911901474	0.9857142857142858	0.786	0.814
6	0.0007574558258056641	0.19609418511390686	0.9857142857142858	0.792	0.817
7	0.0007529258728027344	0.12049230933189392	0.9928571428571429	0.792	0.816
8	0.0005545616149902344	0.07862473279237747	1.0	0.778	0.807
9	0.0005514621734619141	0.055865295231342316	1.0	0.78	0.806
10	0.0005393028259277344	0.04298466071486473	1.0	0.782	0.801
11	0.0005400180816650391	0.036851633340120316	1.0	0.782	0.802
12	0.0005421638488769531	0.03416190668940544	1.0	0.786	0.806
13	0.0005409717559814453	0.03415476530790329	1.0	0.784	0.812
14	0.0005373954772949219	0.03661587834358215	1.0	0.776	0.816
15	0.0005445480346679688	0.04109479859471321	1.0	0.776	0.813
16	0.0006136894226074219	0.047688521444797516	1.0	0.774	0.81
17	0.0005598068237304688	0.05551249161362648	1.0	0.78	0.812
18	0.0005395412445068359	0.06408941745758057	1.0	0.778	0.817
19	0.0005412101745605469	0.07268158346414566	1.0	0.776	0.818
20	0.0005395412445068359	0.07957158237695694	1.0	0.778	0.807
21	0.0005383491516113281	0.08459384739398956	1.0	0.778	0.805
22	0.0005500316619873047	0.0864887610077858	1.0	0.774	0.806
23	0.0005385875701904297	0.0858420878648758	1.0	0.776	0.808
24	0.0005366802215576172	0.08329983800649643	1.0	0.776	0.807
25	0.0005478858947753906	0.07965171337127686	1.0	0.774	0.805
